JAICHAND LAL DAGA,,,,,,,
Bills Receivable,,,,,,,
Account Group : Morbi Party,On Basis of : Due Date,,,,,,
From 1-4-2017 to 9-9-2025,Bills Status as on : 9-9-2025,,,,,,
Account,Dated,Type,Ref. No.,Ref. Amt.,Due Amt.,Due Date,Due Days
,04-12-2024,OpBl,4806,"37,853.00","37,853.00",04-12-2024,279
,05-12-2024,OpBl,4824,"32,432.00","32,432.00",05-12-2024,278
,06-12-2024,OpBl,4857,"38,312.00","38,312.00",06-12-2024,277
,07-12-2024,OpBl,4874,"32,340.00","32,340.00",07-12-2024,276
,08-12-2024,OpBl,4908,"38,771.00","38,771.00",08-12-2024,275
,09-12-2024,OpBl,4932,"38,496.00","38,496.00",09-12-2024,274
,10-12-2024,OpBl,4951,"38,735.00","38,735.00",10-12-2024,273
,11-12-2024,OpBl,4987,"38,312.00","38,312.00",11-12-2024,272
,12-12-2024,OpBl,5011,"38,680.00","38,680.00",12-12-2024,271
,13-12-2024,OpBl,5033,"38,312.00","38,312.00",13-12-2024,270
,14-12-2024,OpBl,5077,"38,312.00","38,312.00",14-12-2024,269
,15-12-2024,OpBl,5101,"38,588.00","38,588.00",15-12-2024,268
,16-12-2024,OpBl,5115,"32,156.00","32,156.00",16-12-2024,267
,18-12-2024,OpBl,5135,"38,220.00","38,220.00",18-12-2024,265
,19-12-2024,OpBl,5173,"37,990.00","37,990.00",19-12-2024,264
,20-12-2024,OpBl,5201,"38,312.00","38,312.00",20-12-2024,263
,21-12-2024,OpBl,5239,"31,274.00","31,274.00",21-12-2024,262
,22-12-2024,OpBl,5274,"32,524.00","32,524.00",22-12-2024,261
,23-12-2024,OpBl,5291,"31,421.00","31,421.00",23-12-2024,260
,24-12-2024,OpBl,5317,"38,771.00","38,771.00",24-12-2024,259
,25-12-2024,OpBl,5343,"38,312.00","38,312.00",25-12-2024,258
,26-12-2024,OpBl,5371,"37,853.00","37,853.00",26-12-2024,257
,27-12-2024,OpBl,5395,"39,599.00","39,599.00",27-12-2024,256
,28-12-2024,OpBl,5414,"38,129.00","38,129.00",28-12-2024,255
,29-12-2024,OpBl,5434,"38,358.00","38,358.00",29-12-2024,254
,30-12-2024,OpBl,5451,"39,093.00","39,093.00",30-12-2024,253
,31-12-2024,OpBl,5460,"38,312.00","38,312.00",31-12-2024,252
,,,Total,"51,95,278.00","51,95,278.00",,
,,,,,,,
COVERSTONE CERAMIC LLP,16-04-2025,SupO,459,"32,323.00","2,226.00",16-04-2025,146
,12-05-2025,SupO,1333,"32,401.00","32,401.00",12-05-2025,120
,16-05-2025,SupO,1472,"27,350.00","27,350.00",16-05-2025,116
,17-05-2025,SupO,1512,"32,789.00","32,789.00",17-05-2025,115
,18-05-2025,SupO,1530,"32,634.00","32,634.00",18-05-2025,114
,20-05-2025,SupO,1603,"33,566.00","33,566.00",20-05-2025,112
,23-05-2025,SupO,1702,"32,789.00","32,789.00",23-05-2025,109
,23-05-2025,SupO,1704,"32,789.00","32,789.00",23-05-2025,109
,07-06-2025,SupO,2132,"31,935.00","31,935.00",07-06-2025,94
,10-06-2025,SupO,2248,"32,634.00","32,634.00",10-06-2025,91
,13-06-2025,SupO,2348,"32,789.00","32,789.00",13-06-2025,88
,21-06-2025,SupO,2566,"32,556.00","32,556.00",21-06-2025,80
,01-07-2025,SupO,2815,"32,556.00","32,556.00",01-07-2025,70
,04-07-2025,SupO,2963,"27,584.00","27,584.00",04-07-2025,67
,06-07-2025,SupO,3041,"32,634.00","32,634.00",06-07-2025,65
,,,Total,"4,79,329.00","4,49,232.00",,
,,,,,,,
COZY SANITARYWARE LLP,12-04-2025,SupO,340,"53,685.00","53,685.00",12-04-2025,150
,12-05-2025,SupO,1334,"65,459.00","65,459.00",12-05-2025,120
,,,Total,"1,19,144.00","1,19,144.00",,
,,,,,,,
CYAN GRANITO LLP,01-04-2025,SupO,14,"35,028.00","35,028.00",01-04-2025,161
,01-04-2025,SupO,32,"29,568.00","29,568.00",01-04-2025,161
,02-04-2025,SupO,51,"34,524.00","34,524.00",02-04-2025,160
,03-04-2025,SupO,103,"34,608.00","34,608.00",03-04-2025,159
,07-04-2025,SupO,218,"35,196.00","35,196.00",07-04-2025,155
,09-04-2025,SupO,277,"36,120.00","36,120.00",09-04-2025,153
,15-04-2025,SupO,430,"35,028.00","35,028.00",15-04-2025,147
,17-04-2025,SupO,479,"35,280.00","35,280.00",17-04-2025,145
,18-04-2025,SupO,534,"34,860.00","34,860.00",18-04-2025,144
,21-04-2025,SupO,647,"35,028.00","35,028.00",21-04-2025,141
,23-04-2025,SupO,708,"35,028.00","35,028.00",23-04-2025,139
,25-04-2025,SupO,760,"35,448.00","35,448.00",25-04-2025,137
,27-04-2025,SupO,851,"29,400.00","29,400.00",27-04-2025,135
,28-04-2025,SupO,883,"35,028.00","35,028.00",28-04-2025,134
,29-04-2025,SupO,934,"36,288.00","36,288.00",29-04-2025,133
,14-05-2025,SupO,1390,"35,112.00","35,112.00",14-05-2025,118
,20-05-2025,SupO,1602,"29,820.00","29,820.00",20-05-2025,112
,23-05-2025,SupO,1678,"35,784.00","35,784.00",23-05-2025,109
,29-05-2025,SupO,1885,"35,448.00","35,448.00",29-05-2025,103
,01-06-2025,SupO,1957,"35,196.00","35,196.00",01-06-2025,100
,01-06-2025,SupO,1965,"36,120.00","36,120.00",01-06-2025,100
,02-06-2025,SupO,2003,"35,448.00","35,448.00",02-06-2025,99
,11-06-2025,SupO,2273,"35,616.00","35,616.00",11-06-2025,90
,22-06-2025,SupO,2579,"33,705.00","33,705.00",22-06-2025,79
,25-06-2025,SupO,2656,"35,700.00","35,700.00",25-06-2025,76
,28-06-2025,SupO,2734,"35,868.00","35,868.00",28-06-2025,73
,30-06-2025,SupO,2799,"35,280.00","35,280.00",30-06-2025,71
,01-07-2025,SupO,2847,"35,028.00","35,028.00",01-07-2025,70
,02-07-2025,SupO,2875,"35,280.00","35,280.00",02-07-2025,69
,03-07-2025,SupO,2890,"29,400.00","29,400.00",03-07-2025,68
,05-07-2025,SupO,2995,"35,028.00","35,028.00",05-07-2025,66
,08-07-2025,SupO,3107,"35,616.00","35,616.00",08-07-2025,63
,,,Total,"11,05,881.00","11,05,881.00",,
,,,,,,,
CYGEN CERAMIC LLP,23-05-2025,SupO,1708,"1,10,849.00","1,10,849.00",23-05-2025,109
,25-05-2025,SupO,1751,"1,13,794.00","1,13,794.00",25-05-2025,107
,29-05-2025,SupO,1863,"1,11,116.00","1,11,116.00",29-05-2025,103
,,,Total,"3,35,759.00","3,35,759.00",,
,,,,,,,
DELEGON CERAMIC LLP,24-06-2021,OpBl,1274,"13,347.00","13,347.00",24-06-2021,1538
,25-06-2021,OpBl,1285,"13,186.00","13,186.00",25-06-2021,1537
,27-06-2021,OpBl,1302,"21,548.00","21,548.00",27-06-2021,1535
,27-06-2021,OpBl,1304,"34,398.00","34,398.00",27-06-2021,1535
,06-07-2021,OpBl,1445,"13,397.00","13,397.00",06-07-2021,1526
,09-07-2021,OpBl,1482,"11,110.00","11,110.00",09-07-2021,1523
,09-07-2021,OpBl,1484,"11,123.00","11,123.00",09-07-2021,1523
,10-07-2021,OpBl,1496,"12,874.00","12,874.00",10-07-2021,1522
,,,Total,"1,30,983.00","1,30,983.00",,
,,,,,,,
EMCER TILES PRIVATE LIMITED,14-02-2025,OpBl,6266,"1,11,652.00","1,11,652.00",14-02-2025,207
,,,Total,"1,11,652.00","1,11,652.00",,
,,,,,,,
FEONA CERAMICS PVT. LTD.,28-08-2017,OpBl,1125,"26,355.00","26,355.00",28-08-2017,2934
,,,"Org. Amt. 37,012.00",,,,
,29-08-2017,OpBl,1137,"23,625.00","23,625.00",29-08-2017,2933
,31-08-2017,OpBl,1203,"37,800.00","37,800.00",31-08-2017,2931
,31-08-2017,OpBl,1204,"9,072.00","9,072.00",31-08-2017,2931
,06-09-2017,OpBl,1359,"16,667.00","16,667.00",06-09-2017,2925
,06-09-2017,OpBl,1361,"16,783.00","16,783.00",06-09-2017,2925
,06-09-2017,OpBl,1372,"9,104.00","9,104.00",06-09-2017,2925
,07-09-2017,OpBl,1392,"17,191.00","17,191.00",07-09-2017,2924
,07-09-2017,OpBl,1393,"9,072.00","9,072.00",07-09-2017,2924
,09-09-2017,OpBl,1437,"8,757.00","8,757.00",09-09-2017,2922
,09-09-2017,OpBl,1438,"9,135.00","9,135.00",09-09-2017,2922
,09-09-2017,OpBl,1455,"17,133.00","17,133.00",09-09-2017,2922
,09-09-2017,OpBl,1456,"16,900.00","16,900.00",09-09-2017,2922
,10-09-2017,OpBl,1464,"9,513.00","9,513.00",10-09-2017,2921
,10-09-2017,OpBl,1486,"20,979.00","20,979.00",10-09-2017,2921
,11-09-2017,OpBl,1495,"9,450.00","9,450.00",11-09-2017,2920
,11-09-2017,OpBl,1504,"17,191.00","17,191.00",11-09-2017,2920
,12-09-2017,OpBl,1518,"9,167.00","9,167.00",12-09-2017,2919
,14-09-2017,OpBl,1553,"16,958.00","16,958.00",14-09-2017,2917
,14-09-2017,OpBl,1568,"10,994.00","10,994.00",14-09-2017,2917
,16-09-2017,OpBl,1604,"16,667.00","16,667.00",16-09-2017,2915
,16-09-2017,OpBl,1606,"38,850.00","38,850.00",16-09-2017,2915
,17-09-2017,OpBl,1636,"17,133.00","17,133.00",17-09-2017,2914
,23-09-2017,OpBl,1767,"8,135.00","8,135.00",23-09-2017,2908
,24-09-2017,OpBl,1795,"7,781.00","7,781.00",24-09-2017,2907
,25-09-2017,OpBl,1810,"37,406.00","37,406.00",25-09-2017,2906
,25-09-2017,OpBl,1822,"7,781.00","7,781.00",25-09-2017,2906
,25-09-2017,OpBl,1824,"7,808.00","7,808.00",25-09-2017,2906
,27-09-2017,OpBl,1861,"36,225.00","36,225.00",27-09-2017,2904
,27-09-2017,OpBl,1862,"34,388.00","34,388.00",27-09-2017,2904
,01-10-2017,OpBl,1987,"17,133.00","17,133.00",01-10-2017,2900
,01-10-2017,OpBl,1991,"39,244.00","39,244.00",01-10-2017,2900
,02-10-2017,OpBl,2003,"38,850.00","38,850.00",02-10-2017,2899
,04-10-2017,OpBl,2084,"39,506.00","39,506.00",04-10-2017,2897
,05-10-2017,OpBl,2088,"7,944.00","7,944.00",05-10-2017,2896
,07-10-2017,OpBl,2174,"14,569.00","14,569.00",07-10-2017,2894
,08-10-2017,OpBl,2182,"7,508.00","7,508.00",08-10-2017,2893
,08-10-2017,OpBl,2183,"7,316.00","7,316.00",08-10-2017,2893
,09-10-2017,OpBl,2223,"11,025.00","11,025.00",09-10-2017,2892
,09-10-2017,OpBl,2224,"11,025.00","11,025.00",09-10-2017,2892
,09-10-2017,OpBl,2237,"23,153.00","23,153.00",09-10-2017,2892
,10-10-2017,OpBl,2255,"9,041.00","9,041.00",10-10-2017,2891
,10-10-2017,OpBl,2264,"8,978.00","8,978.00",10-10-2017,2891
,10-10-2017,OpBl,2268,"16,900.00","16,900.00",10-10-2017,2891
,11-10-2017,OpBl,2279,"38,063.00","38,063.00",11-10-2017,2890
,11-10-2017,OpBl,2280,"9,198.00","9,198.00",11-10-2017,2890
,13-10-2017,OpBl,2360,"9,324.00","9,324.00",13-10-2017,2888
,13-10-2017,OpBl,2361,"38,063.00","38,063.00",13-10-2017,2888
,14-10-2017,OpBl,2371,"37,931.00","37,931.00",14-10-2017,2887
,14-10-2017,OpBl,2372,"9,041.00","9,041.00",14-10-2017,2887
,15-10-2017,OpBl,2381,"9,261.00","9,261.00",15-10-2017,2886
,15-10-2017,OpBl,2382,"36,750.00","36,750.00",15-10-2017,2886
,16-10-2017,OpBl,2400,"17,016.00","17,016.00",16-10-2017,2885
,16-10-2017,OpBl,2401,"20,338.00","20,338.00",16-10-2017,2885
,17-10-2017,OpBl,2405,"17,541.00","17,541.00",17-10-2017,2884
,17-10-2017,OpBl,2410,"9,324.00","9,324.00",17-10-2017,2884
,18-10-2017,OpBl,2417,"39,244.00","39,244.00",18-10-2017,2883
,18-10-2017,OpBl,2418,"11,435.00","11,435.00",18-10-2017,2883
,21-11-2017,OpBl,3116,"8,628.00","8,628.00",21-11-2017,2849
,22-11-2017,OpBl,3122,"44,139.00","44,139.00",22-11-2017,2848
,22-11-2017,OpBl,3124,"15,670.00","15,670.00",22-11-2017,2848
,22-11-2017,OpBl,3125,"10,581.00","10,581.00",22-11-2017,2848
,25-11-2017,OpBl,3185,"8,499.00","8,499.00",25-11-2017,2845
,25-11-2017,OpBl,3194,"20,766.00","20,766.00",25-11-2017,2845
,27-11-2017,OpBl,3210,"15,455.00","15,455.00",27-11-2017,2843
,27-11-2017,OpBl,3217,"35,293.00","35,293.00",27-11-2017,2843
,27-11-2017,OpBl,3224,"8,722.00","8,722.00",27-11-2017,2843
,01-12-2017,OpBl,3303,"8,467.00","8,467.00",01-12-2017,2839
,01-12-2017,OpBl,3304,"8,514.00","8,514.00",01-12-2017,2839
,02-12-2017,OpBl,3336,"45,058.00","45,058.00",02-12-2017,2838
,02-12-2017,OpBl,3339,"8,943.00","8,943.00",02-12-2017,2838
,02-12-2017,OpBl,3342,"8,499.00","8,499.00",02-12-2017,2838
,05-12-2017,OpBl,3432,"35,201.00","35,201.00",05-12-2017,2835
,09-12-2017,OpBl,3513,"46,436.00","46,436.00",09-12-2017,2831
,10-12-2017,OpBl,3532,"36,448.00","36,448.00",10-12-2017,2830
,10-12-2017,OpBl,3533,"15,845.00","15,845.00",10-12-2017,2830
,11-12-2017,OpBl,3549,"15,192.00","15,192.00",11-12-2017,2829
,12-12-2017,OpBl,3597,"36,081.00","36,081.00",12-12-2017,2828
,18-12-2017,OpBl,3744,"8,845.00","8,845.00",18-12-2017,2822
,19-12-2017,OpBl,3759,"44,481.00","44,481.00",19-12-2017,2821
,20-12-2017,OpBl,3789,"10,861.00","10,861.00",20-12-2017,2820
,20-12-2017,OpBl,3790,"45,255.00","45,255.00",20-12-2017,2820
,25-12-2017,OpBl,3912,"17,429.00","17,429.00",25-12-2017,2815
,26-12-2017,OpBl,3934,"21,142.00","21,142.00",26-12-2017,2814
,27-12-2017,OpBl,3950,"9,047.00","9,047.00",27-12-2017,2813
,27-12-2017,OpBl,3951,"45,675.00","45,675.00",27-12-2017,2813
,28-12-2017,OpBl,3975,"16,603.00","16,603.00",28-12-2017,2812
,29-01-2018,OpBl,4730,"16,842.00","16,842.00",29-01-2018,2780
,29-01-2018,OpBl,4731,"10,994.00","10,994.00",29-01-2018,2780
,29-01-2018,OpBl,4750,"37,656.00","37,656.00",29-01-2018,2780
,30-01-2018,OpBl,4752,"17,010.00","17,010.00",30-01-2018,2779
,30-01-2018,OpBl,4760,"9,091.00","9,091.00",30-01-2018,2779
,31-01-2018,OpBl,4778,"11,088.00","11,088.00",31-01-2018,2778
,31-01-2018,OpBl,4780,"37,144.00","37,144.00",31-01-2018,2778
,01-02-2018,OpBl,4793,"38,575.00","38,575.00",01-02-2018,2777
,01-02-2018,OpBl,4794,"8,817.00","8,817.00",01-02-2018,2777
,02-02-2018,OpBl,4826,"39,835.00","39,835.00",02-02-2018,2776
,02-02-2018,OpBl,4827,"9,415.00","9,415.00",02-02-2018,2776
,12-02-2018,OpBl,5035,"20,279.00","20,279.00",12-02-2018,2766
,16-02-2018,OpBl,5116,"39,362.00","39,362.00",16-02-2018,2762
,16-02-2018,OpBl,5117,"16,836.00","16,836.00",16-02-2018,2762
,16-02-2018,OpBl,5118,"9,419.00","9,419.00",16-02-2018,2762
,17-02-2018,OpBl,5140,"37,420.00","37,420.00",17-02-2018,2761
,19-02-2018,OpBl,5188,"11,466.00","11,466.00",19-02-2018,2759
,19-02-2018,OpBl,5192,"39,244.00","39,244.00",19-02-2018,2759
,20-02-2018,OpBl,5217,"8,820.00","8,820.00",20-02-2018,2758
,20-02-2018,OpBl,5230,"46,830.00","46,830.00",20-02-2018,2758
,21-02-2018,OpBl,5239,"17,658.00","17,658.00",21-02-2018,2757
,03-03-2018,OpBl,5437,"23,618.00","23,618.00",03-03-2018,2747
,03-03-2018,OpBl,5439,"15,152.00","15,152.00",03-03-2018,2747
,03-03-2018,OpBl,5442,"38,246.00","38,246.00",03-03-2018,2747
,03-03-2018,OpBl,5446,"17,243.00","17,243.00",03-03-2018,2747
,03-03-2018,OpBl,5449,"8,159.00","8,159.00",03-03-2018,2747
,04-03-2018,OpBl,5473,"9,381.00","9,381.00",04-03-2018,2746
,04-03-2018,OpBl,5478,"9,198.00","9,198.00",04-03-2018,2746
,05-03-2018,OpBl,5505,"38,706.00","38,706.00",05-03-2018,2745
,05-03-2018,OpBl,5517,"39,900.00","39,900.00",05-03-2018,2745
,14-05-2018,OpBl,1120,"17,074.00","17,074.00",14-05-2018,2675
,17-05-2018,OpBl,1191,"17,509.00","17,509.00",17-05-2018,2672
,19-05-2018,OpBl,1222,"17,388.00","17,388.00",19-05-2018,2670
,19-05-2018,OpBl,1234,"17,267.00","17,267.00",19-05-2018,2670
,21-05-2018,OpBl,1278,"17,328.00","17,328.00",21-05-2018,2668
,19-06-2018,OpBl,1866,"17,147.00","17,147.00",19-06-2018,2639
,21-06-2018,OpBl,1889,"16,863.00","16,863.00",21-06-2018,2637
,23-06-2018,OpBl,1914,"18,113.00","18,113.00",23-06-2018,2635
,26-06-2018,OpBl,1955,"17,473.00","17,473.00",26-06-2018,2632
,27-06-2018,OpBl,1977,"18,113.00","18,113.00",27-06-2018,2631
,01-07-2018,OpBl,2027,"23,783.00","23,783.00",01-07-2018,2627
,04-07-2018,OpBl,2080,"17,630.00","17,630.00",04-07-2018,2624
,07-07-2018,OpBl,2132,"24,255.00","24,255.00",07-07-2018,2621
,,,Total,"26,53,863.00","26,53,863.00",,
,,,,,,,
FLAVOUR GRANITO LLP,02-04-2025,SupO,45,"32,926.00","32,926.00",02-04-2025,160
,01-05-2025,SupO,959,"33,626.00","33,626.00",01-05-2025,131
,02-05-2025,SupO,993,"33,075.00","33,075.00",02-05-2025,130
,13-06-2025,SupO,2333,"32,839.00","32,839.00",13-06-2025,88
,09-07-2025,SupO,3151,"33,075.00","33,075.00",09-07-2025,62
,,,Total,"1,65,541.00","1,65,541.00",,
,,,,,,,
GRAFITE CERAMICS PRIVATE LIMITED,27-05-2025,SupO,1794,"1,08,174.00","1,08,174.00",27-05-2025,105
,,,Total,"1,08,174.00","1,08,174.00",,
,,,,,,,
GREENZONE GRANITO PVT LTD,25-04-2024,OpBl,512,"24,486.00",861,25-04-2024,502
,27-04-2024,OpBl,545,"29,064.00","29,064.00",27-04-2024,500
,27-04-2024,OpBl,548,"35,364.00","35,364.00",27-04-2024,500
,29-04-2024,OpBl,603,"24,313.00","24,313.00",29-04-2024,498
,29-04-2024,OpBl,604,"35,028.00","35,028.00",29-04-2024,498
,29-04-2024,OpBl,615,"24,255.00","24,255.00",29-04-2024,498
,30-04-2024,OpBl,622,"24,763.00","24,763.00",30-04-2024,497
,01-05-2024,OpBl,645,"23,932.00","23,932.00",01-05-2024,496
,01-05-2024,OpBl,651,"36,540.00","36,540.00",01-05-2024,496
,02-05-2024,OpBl,677,"19,924.00","19,924.00",02-05-2024,495
,15-05-2024,OpBl,875,"24,382.00","24,382.00",15-05-2024,482
,15-05-2024,OpBl,876,"19,866.00","19,866.00",15-05-2024,482
,15-05-2024,OpBl,891,"35,851.00","35,851.00",15-05-2024,482
,16-05-2024,OpBl,911,"34,440.00","34,440.00",16-05-2024,481
,17-05-2024,OpBl,921,"35,238.00","35,238.00",17-05-2024,480
,17-05-2024,OpBl,922,"20,617.00","20,617.00",17-05-2024,480
,19-05-2024,OpBl,945,"35,028.00","35,028.00",19-05-2024,478
,23-05-2024,OpBl,994,"29,820.00","29,820.00",23-05-2024,474
,24-05-2024,OpBl,1002,"35,020.00","35,020.00",24-05-2024,473
,25-05-2024,OpBl,1031,"19,751.00","19,751.00",25-05-2024,472
,25-05-2024,OpBl,1036,"34,692.00","34,692.00",25-05-2024,472
,27-05-2024,OpBl,1059,"34,440.00","34,440.00",27-05-2024,470
,15-03-2025,OpBl,6914,"24,197.00","24,197.00",15-03-2025,178
,18-03-2025,OpBl,7016,"31,148.00","31,148.00",18-03-2025,175
,24-03-2025,OpBl,7206,"24,371.00","24,371.00",24-03-2025,169
,05-04-2025,SupO,150,"24,602.00","24,602.00",05-04-2025,157
,,,Total,"7,41,132.00","7,17,507.00",,
,,,,,,,
HEM ENTERPRISES,19-12-2024,OpBl,5199,"24,833.00","23,179.00",19-12-2024,264
,20-12-2024,OpBl,5217,"20,501.00","20,501.00",20-12-2024,263
,21-12-2024,OpBl,5256,"24,255.00","24,255.00",21-12-2024,262
,21-12-2024,OpBl,5261,"24,082.00","24,082.00",21-12-2024,262
,22-12-2024,OpBl,5273,"24,371.00","24,371.00",22-12-2024,261
,23-12-2024,OpBl,5293,"24,428.00","24,428.00",23-12-2024,260
,23-12-2024,OpBl,5311,"24,290.00","24,290.00",23-12-2024,260
,24-12-2024,OpBl,5323,"23,955.00","23,955.00",24-12-2024,259
,24-12-2024,OpBl,5329,"24,197.00","24,197.00",24-12-2024,259
,25-12-2024,OpBl,5368,"24,082.00","24,082.00",25-12-2024,258
,06-01-2025,OpBl,5584,"19,866.00","19,866.00",06-01-2025,246
,06-01-2025,OpBl,5585,"20,270.00","20,270.00",06-01-2025,246
,01-03-2025,OpBl,6620,"24,544.00","24,544.00",01-03-2025,192
,01-03-2025,OpBl,6629,"20,386.00","20,386.00",01-03-2025,192
,02-03-2025,OpBl,6660,"24,082.00","24,082.00",02-03-2025,191
,03-03-2025,OpBl,6683,"24,082.00","24,082.00",03-03-2025,190
,05-03-2025,OpBl,6740,"24,371.00","24,371.00",05-03-2025,188
,07-03-2025,OpBl,6796,"20,213.00","20,213.00",07-03-2025,186
,07-03-2025,OpBl,6815,"24,082.00","24,082.00",07-03-2025,186
,08-03-2025,OpBl,6839,"24,255.00","24,255.00",08-03-2025,185
,15-03-2025,OpBl,6910,"24,082.00","24,082.00",15-03-2025,178
,16-03-2025,OpBl,6951,"24,371.00","24,371.00",16-03-2025,177
,17-03-2025,OpBl,6976,"24,659.00","24,659.00",17-03-2025,176
,18-03-2025,OpBl,7009,"24,255.00","24,255.00",18-03-2025,175
,20-03-2025,OpBl,7058,"24,082.00","24,082.00",20-03-2025,173
,21-03-2025,OpBl,7078,"24,197.00","24,197.00",21-03-2025,172
,22-03-2025,OpBl,7125,"24,371.00","24,371.00",22-03-2025,171
,22-03-2025,OpBl,7133,"24,284.00","24,284.00",22-03-2025,171
,23-03-2025,OpBl,7163,"24,371.00","24,371.00",23-03-2025,170
,25-03-2025,OpBl,7220,"24,082.00","24,082.00",25-03-2025,168
,26-03-2025,OpBl,7240,"24,197.00","24,197.00",26-03-2025,167
,27-03-2025,OpBl,7262,"24,700.00","24,700.00",27-03-2025,166
,27-03-2025,OpBl,7269,"20,270.00","20,270.00",27-03-2025,166
,27-03-2025,OpBl,7272,"24,082.00","24,082.00",27-03-2025,166
,27-03-2025,OpBl,7274,"24,197.00","24,197.00",27-03-2025,166
,27-03-2025,OpBl,7276,"24,371.00","24,371.00",27-03-2025,166
,27-03-2025,OpBl,7277,"24,371.00","24,371.00",27-03-2025,166
,27-03-2025,OpBl,7278,"24,648.00","24,648.00",27-03-2025,166
,27-03-2025,OpBl,7281,"24,255.00","24,255.00",27-03-2025,166
,27-03-2025,OpBl,7282,"24,007.00","24,007.00",27-03-2025,166
,27-03-2025,OpBl,7284,"24,082.00","24,082.00",27-03-2025,166
,27-03-2025,OpBl,7287,"24,255.00","24,255.00",27-03-2025,166
,28-03-2025,OpBl,7293,"24,371.00","24,371.00",28-03-2025,165
,28-03-2025,OpBl,7300,"24,082.00","24,082.00",28-03-2025,165
,28-03-2025,OpBl,7301,"20,328.00","20,328.00",28-03-2025,165
,28-03-2025,OpBl,7309,"24,255.00","24,255.00",28-03-2025,165
,28-03-2025,OpBl,7310,"20,039.00","20,039.00",28-03-2025,165
,28-03-2025,OpBl,7311,"19,751.00","19,751.00",28-03-2025,165
,28-03-2025,OpBl,7313,"20,039.00","20,039.00",28-03-2025,165
,28-03-2025,OpBl,7314,"20,501.00","20,501.00",28-03-2025,165
,02-04-2025,SupO,77,"24,371.00","24,371.00",02-04-2025,160
,03-04-2025,SupO,110,"24,775.00","24,775.00",03-04-2025,159
,12-04-2025,SupO,333,"24,024.00","24,024.00",12-04-2025,150
,13-04-2025,SupO,361,"17,934.00","17,934.00",13-04-2025,149
,14-04-2025,SupO,407,"24,862.00","24,862.00",14-04-2025,148
,14-04-2025,SupO,408,"20,213.00","20,213.00",14-04-2025,148
,14-04-2025,SupO,409,"24,146.00","24,146.00",14-04-2025,148
,15-04-2025,SupO,410,"23,793.00","23,793.00",15-04-2025,147
,15-04-2025,SupO,412,"24,590.00","24,590.00",15-04-2025,147
,15-04-2025,SupO,432,"24,371.00","24,371.00",15-04-2025,147
,16-04-2025,SupO,474,"24,371.00","24,371.00",16-04-2025,146
,17-04-2025,SupO,475,"24,255.00","24,255.00",17-04-2025,145
,17-04-2025,SupO,482,"23,966.00","23,966.00",17-04-2025,145
,18-04-2025,SupO,532,"24,140.00","24,140.00",18-04-2025,144
,19-04-2025,SupO,544,"24,024.00","24,024.00",19-04-2025,143
,19-04-2025,SupO,569,"24,446.00","24,446.00",19-04-2025,143
,21-04-2025,SupO,653,"24,197.00","24,197.00",21-04-2025,141
,28-04-2025,DrNt,DR/2025-2026/02,"6,725.00","6,725.00",28-04-2025,134
,01-05-2025,SupO,974,"20,501.00","20,501.00",01-05-2025,131
,01-05-2025,SupO,975,"24,082.00","24,082.00",01-05-2025,131
,03-05-2025,SupO,1034,"24,371.00","24,371.00",03-05-2025,129
,03-05-2025,SupO,1066,"24,082.00","24,082.00",03-05-2025,129
,04-05-2025,SupO,1101,"24,146.00","24,146.00",04-05-2025,128
,04-05-2025,SupO,1103,"25,237.00","25,237.00",04-05-2025,128
,05-05-2025,SupO,1114,"24,082.00","24,082.00",05-05-2025,127
,06-05-2025,SupO,1125,"23,966.00","23,966.00",06-05-2025,126
,06-05-2025,SupO,1162,"24,371.00","24,371.00",06-05-2025,126
,07-05-2025,SupO,1171,"24,024.00","24,024.00",07-05-2025,125
,07-05-2025,SupO,1179,"24,255.00","24,255.00",07-05-2025,125
,07-05-2025,SupO,1196,"23,909.00","23,909.00",07-05-2025,125
,08-05-2025,SupO,1202,"24,428.00","24,428.00",08-05-2025,124
,08-05-2025,SupO,1219,"24,428.00","24,428.00",08-05-2025,124
,09-05-2025,SupO,1225,"24,197.00","24,197.00",09-05-2025,123
,09-05-2025,SupO,1235,"24,082.00","24,082.00",09-05-2025,123
,10-05-2025,SupO,1263,"24,371.00","24,371.00",10-05-2025,122
,11-05-2025,SupO,1282,"24,082.00","24,082.00",11-05-2025,121
,11-05-2025,SupO,1283,"24,255.00","24,255.00",11-05-2025,121
,11-05-2025,SupO,1313,"23,909.00","23,909.00",11-05-2025,121
,11-05-2025,SupO,1315,"24,082.00","24,082.00",11-05-2025,121
,12-05-2025,SupO,1326,"24,082.00","24,082.00",12-05-2025,120
,12-05-2025,SupO,1329,"24,428.00","24,428.00",12-05-2025,120
,12-05-2025,SupO,1330,"24,428.00","24,428.00",12-05-2025,120
,13-05-2025,SupO,1353,"24,659.00","24,659.00",13-05-2025,119
,13-05-2025,SupO,1374,"24,082.00","24,082.00",13-05-2025,119
,13-05-2025,SupO,1375,"24,371.00","24,371.00",13-05-2025,119
,14-05-2025,SupO,1394,"24,371.00","24,371.00",14-05-2025,118
,14-05-2025,SupO,1395,"24,371.00","24,371.00",14-05-2025,118
,15-05-2025,SupO,1454,"24,082.00","24,082.00",15-05-2025,117
,16-05-2025,SupO,1458,"24,255.00","24,255.00",16-05-2025,116
